Category: All categories

Week,恋と深空マヒル: (Japan),恋と深空セイヤ: (Japan),恋と深空レイ: (Japan),恋と深空シン: (Japan),恋と深空ホムラ: (Japan)
2023-12-17,0,0,0,0,0
2023-12-24,0,0,0,0,0
2023-12-31,0,0,0,0,0
2024-01-07,0,0,0,0,0
2024-01-14,0,0,0,0,0
2024-01-21,29,16,23,0,33
2024-01-28,15,21,19,0,35
2024-02-04,19,36,32,0,32
2024-02-11,17,24,23,0,23
2024-02-18,0,20,22,0,27
2024-02-25,0,21,16,0,24
2024-03-03,0,18,10,0,27
2024-03-10,0,21,10,0,14
2024-03-17,0,0,0,0,0
2024-03-24,0,9,10,0,12
2024-03-31,0,0,0,0,13
2024-04-07,0,12,11,0,17
2024-04-14,0,0,0,0,0
2024-04-21,0,9,0,0,0
2024-04-28,0,0,0,0,0
2024-05-05,0,0,0,0,11
2024-05-12,0,0,0,0,0
2024-05-19,0,0,0,0,0
2024-05-26,0,0,0,0,0
2024-06-02,0,0,0,0,0
2024-06-09,0,0,0,0,0
2024-06-16,0,0,0,0,0
2024-06-23,0,12,0,0,0
2024-06-30,0,0,0,10,0
2024-07-07,0,10,9,45,11
2024-07-14,11,14,10,74,12
2024-07-21,0,9,11,42,0
2024-07-28,0,0,12,35,18
2024-08-04,0,0,14,24,13
2024-08-11,0,8,13,25,0
2024-08-18,0,15,0,27,15
2024-08-25,0,13,18,15,14
2024-09-01,0,10,19,16,14
2024-09-08,0,8,8,15,13
2024-09-15,0,14,0,23,0
2024-09-22,0,0,0,15,0
2024-09-29,0,17,11,16,8
2024-10-06,0,16,9,16,13
2024-10-13,0,16,24,23,0
2024-10-20,0,0,0,25,9
2024-10-27,0,13,0,13,0
2024-11-03,0,0,0,9,0
2024-11-10,0,0,0,11,9
2024-11-17,0,9,0,9,9
2024-11-24,0,0,0,16,0
2024-12-01,0,0,0,26,0
2024-12-08,0,0,0,22,0
2024-12-15,0,0,0,12,0
2024-12-22,10,11,11,14,10
2024-12-29,0,11,12,21,12
2025-01-05,39,16,10,18,12
2025-01-12,30,23,16,26,21
2025-01-19,100,17,18,29,15
2025-01-26,93,21,22,27,17
2025-02-02,58,18,17,34,10
2025-02-09,47,18,13,32,22
2025-02-16,35,17,11,23,14
2025-02-23,33,14,19,29,23
2025-03-02,23,11,10,29,16
2025-03-09,19,9,15,18,11
2025-03-16,15,13,0,22,11
2025-03-23,36,9,11,26,13
2025-03-30,25,18,0,16,11
2025-04-06,18,11,15,22,9
2025-04-13,12,0,0,25,9
2025-04-20,10,10,12,13,0
2025-04-27,17,0,0,15,10
2025-05-04,20,0,12,15,11
2025-05-11,16,9,0,12,0
2025-05-18,10,0,10,22,0
2025-05-25,10,11,0,17,0
2025-06-01,13,9,0,0,0
2025-06-08,17,0,9,9,8
2025-06-15,12,0,10,12,0
2025-06-22,10,0,10,12,13
2025-06-29,10,9,0,13,10
2025-07-06,13,10,13,13,8
2025-07-13,10,0,8,14,10
2025-07-20,13,11,0,11,0
2025-07-27,9,13,9,13,0
2025-08-03,11,9,10,17,0
2025-08-10,14,0,9,11,10
2025-08-17,10,9,0,10,9
2025-08-24,11,0,0,14,0
2025-08-31,12,13,19,13,8
2025-09-07,11,10,0,0,10
2025-09-14,0,10,0,12,0
2025-09-21,12,10,13,0,0
2025-09-28,0,0,0,12,0
2025-10-05,9,14,0,11,0
2025-10-12,8,9,9,8,0
2025-10-19,8,0,0,10,9
2025-10-26,0,0,0,10,0
2025-11-02,11,0,0,10,0
2025-11-09,0,0,0,8,0
2025-11-16,0,0,0,0,0
2025-11-23,10,0,0,0,0
2025-11-30,0,0,0,14,0
2025-12-07,8,8,10,13,0
2025-12-14,15,0,0,12,0
2025-12-21,9,0,0,0,0
2025-12-28,13,10,11,14,20
2026-01-04,18,9,9,11,13
2026-01-11,16,14,13,19,11
2026-01-18,31,17,23,26,23
2026-01-25,24,14,17,28,18
2026-02-01,23,23,17,15,18
2026-02-08,20,13,0,12,16
2026-02-15,10,11,0,12,0
2026-02-22,15,2,3,19,17
2026-03-01,15,10,54,16,21
2026-03-08,11,7,12,11,9
